utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,6315,6080,26,0,86
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,6102,5930,24,0,72
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,5830,5726,20,0,73
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,5715,5686,20,0,69
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,5818,5792,19,0,77
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,5774,5810,15,0,73
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,6168,6262,14,8,65
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,6406,6603,18,17,55
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,6677,6943,20,56,60
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,6893,7110,21,114,60
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,6990,7174,23,162,50
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,6891,6976,22,179,42
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,6741,6795,20,161,48
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,6673,6673,20,114,43
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,6716,6692,23,55,54
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,7149,7025,31,17,60
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,7706,7546,38,8,56
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,7828,7750,38,8,42
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,7513,7566,37,0,36
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,7184,7197,32,0,36
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,6789,6875,30,0,34
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,6906,7099,31,0,43
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,6633,6690,24,0,43
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,6353,6786,26,0,48
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,6138,6541,24,0,56
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,6042,6414,23,0,52
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,5914,6282,22,0,62
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,6076,6475,24,0,74
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,6663,7171,27,0,76
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,7383,8197,33,0,104
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,8251,9116,45,8,111
2017-01-02T07:00:00Z,2017-01-02T08:00:00+0100,8724,9420,42,17,111
2017-01-02T08:00:00Z,2017-01-02T09:00:00+0100,8992,9530,47,54,111
2017-01-02T09:00:00Z,2017-01-02T10:00:00+0100,9024,9536,49,102,105
2017-01-02T10:00:00Z,2017-01-02T11:00:00+0100,9069,9497,51,140,109
2017-01-02T11:00:00Z,2017-01-02T12:00:00+0100,8942,9311,50,155,102
2017-01-02T12:00:00Z,2017-01-02T13:00:00+0100,8842,9306,52,138,120
